ACTIONTIME	ACTIONCODE	IDENTIFIER	SERIAL	NODE	NODEALIAS	MANAGER	AGENT	ALERTGROUP	ALERTKEY	SEVERITY	SUMMARY	STATECHANGE	FIRSTOCCURRENCE	LASTOCCURRENCE	INTERNALLAST	POLL	TYPE	TALLY	CLASS	GRADE	LOCATION	OWNERUID	OWNERGID	ACKNOWLEDGED	FLASH	EVENTID	EXPIRETIME	PROCESSREQ	SUPPRESSESCL	CUSTOMER	SERVICE	PHYSICALSLOT	PHYSICALPORT	PHYSICALCARD	TASKLIST	NMOSSERIAL	NMOSOBJINST	NMOSCAUSETYPE	NMOSDOMAINNAME	NMOSENTITYID	NMOSEVENTMAP	NMOSMANAGEDSTATUS	LOCALNODEALIAS	LOCALPRIOBJ	LOCALSECOBJ	LOCALROOTOBJ	REMOTENODEALIAS	REMOTEPRIOBJ	REMOTESECOBJ	REMOTEROOTOBJ	X733EVENTTYPE	X733PROBABLECAUSE	X733SPECIFICPROB	X733CORRNOTIF	ELEMENTNAME	ELEMENTPARENT	ELEMENTTYPE	PROVIDER	DOMAIN	TECHNOLOGY	LOGTICKET	SERVERNAME	SERVERSERIAL	CELLID	REGION	CRITICOS	SITEID
2013-11-01 00:00:25	D		61057280																																																											COL_B_1	16407656				
2013-11-01 00:00:25	D		61057323																																																											COL_B_1	16408120				
2013-11-01 00:00:25	D		61057253																																																											COL_P_1	38780176				
2013-11-01 00:00:25	D		61057309																																																											COL_P_1	38780208				
2013-11-01 00:00:25	D		61057281																																																											COL_B_1	16407903				
2013-11-01 00:00:25	D		61057315																																																											COL_B_1	16408112				
2013-11-01 00:00:25	D		61057270																																																											COL_P_1	38780193				
2013-11-01 00:00:25	D		61057262																																																											COL_P_1	38780185				
2013-11-01 00:00:25	D		61057291																																																											COL_B_1	16407470				
2013-11-01 00:00:25	D		61057288																																																											COL_B_1	16408104				
2013-11-01 00:00:25	D		61057307																																																											COL_P_1	38780206				
2013-11-01 00:00:25	D		61057287																																																											COL_B_1	16408103				
2013-11-01 00:00:25	D		61057249																																																											COL_P_1	38780172				
2013-11-01 00:00:25	D		61057284																																																											COL_B_1	16408100				
2013-11-01 00:00:25	D		61057259																																																											COL_P_1	38780182				
2013-11-01 00:00:25	D		61057268																																																											COL_P_1	38780191				
2013-11-01 00:00:25	D		61057303																																																											COL_P_1	38780202				
2013-11-01 00:00:25	D		61057285																																																											COL_B_1	16408101				
2013-11-01 00:00:25	D		61057273																																																											COL_B_1	16381552				
2013-11-01 00:00:25	D		61057316																																																											COL_B_1	16408113				
2013-11-01 00:00:25	D		61057312																																																											COL_B_1	16407880				
2013-11-01 00:00:25	D		61057302																																																											COL_P_1	38780201				
2013-11-01 00:00:25	D		61057255																																																											COL_P_1	38780178				
2013-11-01 00:00:25	D		61057261																																																											COL_P_1	38780184				
2013-11-01 00:00:25	D		61057257																																																											COL_P_1	38780180				
2013-11-01 00:00:25	D		61057267																																																											COL_P_1	38780190				
2013-11-01 00:00:25	D		61057304																																																											COL_P_1	38780203				
2013-11-01 00:00:25	D		61057269																																																											COL_P_1	38780192				
